Symbol,Date,Open,High,Low,Close,Volume
A,19-Nov-2021,163.01,165.07,162.67,164.3,1647600
AA,19-Nov-2021,47.31,48.08,46.69,47.6,5644100
AAC,19-Nov-2021,9.84,9.84,9.79,9.82,993400
AAC.U,19-Nov-2021,10.08,10.08,10.03,10.06,12300
AAC.W,19-Nov-2021,1.24,1.3,1.24,1.2999,18300
AAI-B,19-Nov-2021,24.96,25,24.91,25,1700
AAI-C,19-Nov-2021,25.705,25.705,25.705,25.705,100
AAIC,19-Nov-2021,3.7,3.74,3.7,3.71,111400
AAIN,19-Nov-2021,25.01,25.0201,25,25.02,5500
AAN,19-Nov-2021,25.4,25.49,24.75,25.26,168900
AAP,19-Nov-2021,231.67,231.875,228.27,230,574300
AAQ.U,19-Nov-2021,10.07,10.07,10.06,10.07,4300
AAQ.W,19-Nov-2021,1.0299,1.0299,0.9602,0.9602,6600
AAQC,19-Nov-2021,9.78,9.78,9.76,9.76,8100
AAT,19-Nov-2021,37.5,37.908,37.5,37.77,221100
AB,19-Nov-2021,54.38,54.58,53.31,53.43,246400
ABB,19-Nov-2021,35.77,35.98,35.71,35.74,1065400
ABBV,19-Nov-2021,117.63,117.8,115.86,116.24,5885700
ABC,19-Nov-2021,125.49,126.15,120.39,120.52,1533800
ABEV,19-Nov-2021,3.13,3.14,3.06,3.06,22472800
ABG,19-Nov-2021,168.9,168.95,162.28,162.99,428200
ABM,19-Nov-2021,46.49,47.88,46.45,47.38,393200
ABR,19-Nov-2021,18.35,18.47,18.27,18.4,1323100
ABR-D,19-Nov-2021,25.35,25.35,25.34,25.35,6700
ABR-E,19-Nov-2021,25.36,25.36,25.11,25.1797,9000
ABR-F,19-Nov-2021,25.15,25.28,25.1101,25.23,10600
ABT,19-Nov-2021,128.41,128.53,126.46,126.84,6867600
AC,19-Nov-2021,41.21,42.3,40.685,41.25,12900
ACA,19-Nov-2021,56.03,57.72,55.995,57.43,158000
ACA.U,19-Nov-2021,10.17,10.175,10.15,10.17,81900
ACC,19-Nov-2021,53.42,53.63,52.7,53.34,464900
ACCO,19-Nov-2021,8.37,8.49,8.35,8.45,421600
ACD.U,19-Nov-2021,10.19,10.19,10.19,10.19,100
ACEL,19-Nov-2021,12.48,12.66,12.18,12.26,124900
ACH,19-Nov-2021,13.14,13.26,13.03,13.21,98500
ACH.W,19-Nov-2021,1.4,1.4,1.23,1.34,23200
ACHR,19-Nov-2021,5.9,6.03,5.85,5.92,1026300
ACI,19-Nov-2021,34.88,35,33.68,33.77,921500
ACI.S,19-Nov-2021,9.98,9.98,9.94,9.94,2200
ACI.T,19-Nov-2021,0.9603,1.0099,0.9603,1,15200
ACII,19-Nov-2021,9.75,9.77,9.75,9.76,1900
ACM,19-Nov-2021,72.63,73.06,72.28,73.03,1095800
ACN,19-Nov-2021,371.95,374.7,369.67,369.79,2563800
ACP,19-Nov-2021,11.3,11.32,11.09,11.32,185500
ACP-A,19-Nov-2021,26.99,26.99,26.92,26.98,2900
ACR,19-Nov-2021,14.69,14.75,14.64,14.65,38800
ACR-C,19-Nov-2021,25.66,25.68,25.645,25.66,24500
ACR-D,19-Nov-2021,25.57,25.57,25.3337,25.3337,600
ACR.U,19-Nov-2021,9.95,10.01,9.95,9.96,9000
ACR.W,19-Nov-2021,0.95,0.9502,0.95,0.95,6400
ACRE,19-Nov-2021,15.4,15.45,15.27,15.42,278600
ACRO,19-Nov-2021,9.7,9.71,9.69,9.7,8700
ACV,19-Nov-2021,36.43,36.58,35.96,35.97,21800
ADC,19-Nov-2021,69.86,70.38,69.29,69.66,480300
ADC-A,19-Nov-2021,24,24.14,24,24.09,17300
ADCT,19-Nov-2021,24.46,24.82,22.6066,22.84,157400
ADEX,19-Nov-2021,9.73,9.7301,9.73,9.7301,1200
ADF,19-Nov-2021,10.2,10.2,10.1,10.14,357200
ADF.W,19-Nov-2021,2.17,2.23,2.1655,2.23,15800
ADM,19-Nov-2021,66.6,66.8,65.02,65.34,4874500
ADNT,19-Nov-2021,46.24,47.45,45.92,46.1,1230400
ADS,19-Nov-2021,74.25,75.04,73.765,74.37,576600
ADT,19-Nov-2021,8.94,9.19,8.91,8.99,984000
ADX,19-Nov-2021,19.35,19.36,19.25,19.3,662800
AEE,19-Nov-2021,84.84,85.51,84.57,85.38,993500
AEFC,19-Nov-2021,26.64,26.64,26.54,26.59,40500
AEG,19-Nov-2021,4.78,4.78,4.71,4.75,2229000
AEL,19-Nov-2021,34.96,35.73,34.93,34.98,248600
AEL-A,19-Nov-2021,27.03,27.08,26.8801,27.06,14200
AEL-B,19-Nov-2021,28.01,28.011,27.79,27.84,6200
AEM,19-Nov-2021,55.43,55.82,54.305,54.35,1836000
AENZ,19-Nov-2021,1.89,1.89,1.65,1.695,273600
AEO,19-Nov-2021,27.7,27.97,26.88,26.93,4614400
AER,19-Nov-2021,62.2,62.52,61.42,62.01,1079400
AES,19-Nov-2021,24.35,24.63,24.26,24.58,4313600
AESC,19-Nov-2021,97.89,98,97.25,97.67,9700
AEV.W,19-Nov-2021,1.95,2.5,1.95,2.4301,67800
AEVA,19-Nov-2021,8.29,9.23,8.29,8.84,3923700
AFB,19-Nov-2021,15,15.0135,14.91,14.92,47200
AFG,19-Nov-2021,140.45,142.37,139.5875,140.45,437600
AFGB,19-Nov-2021,27.02,27.04,26.985,27,7600
AFGC,19-Nov-2021,26.76,26.865,26.76,26.79,13300
AFGD,19-Nov-2021,28.92,29.08,28.8081,29.03,5500
AFGE,19-Nov-2021,26.93,26.93,26.76,26.76,4800
AFI,19-Nov-2021,2.22,2.28,2.19,2.21,75200
AFL,19-Nov-2021,55.5,55.92,54.73,55.44,2646400
AFT,19-Nov-2021,16.33,16.405,16.3,16.32,39200
AFT.U,19-Nov-2021,9.98,10.03,9.98,9.99,13600
AFT.W,19-Nov-2021,0.9399,0.9399,0.897,0.905,6000
AFTR,19-Nov-2021,9.72,9.75,9.7,9.7,13000
AG,19-Nov-2021,13.19,13.4745,12.88,12.88,2696200
AGA.U,19-Nov-2021,10.14,10.1723,10.13,10.13,900
AGA.W,19-Nov-2021,0.579,0.579,0.5158,0.5747,43800
AGAC,19-Nov-2021,9.73,9.76,9.73,9.75,7500
AGCB,19-Nov-2021,10.25,10.3231,10.11,10.12,166800
AGCO,19-Nov-2021,119.5,120.74,118.375,118.73,809500
AGD,19-Nov-2021,12.21,12.21,12.1,12.15,33900
AGI,19-Nov-2021,8.34,8.475,8.27,8.27,1645800
AGL,19-Nov-2021,23.93,24.275,23.68,23.76,824400
AGM,19-Nov-2021,125.67,127.43,125.02,126.52,21000
AGM-C,19-Nov-2021,28.06,28.11,28,28,2600
AGM-E,19-Nov-2021,26.84,26.9,26.76,26.765,2300
AGM-F,19-Nov-2021,26.03,26.03,25.86,25.9,7700
AGM-G,19-Nov-2021,25.61,25.86,25.58,25.86,1300
AGM.A,19-Nov-2021,114.01,114.01,114.01,114.01,100
AGO,19-Nov-2021,52.85,53.81,52.36,53.17,420200
AGR,19-Nov-2021,51.26,51.92,51.02,51.15,503700
AGRO,19-Nov-2021,9.16,9.16,8.73,8.73,981400
AGS,19-Nov-2021,7.37,7.52,7.13,7.25,227100
AGTI,19-Nov-2021,23.28,23.88,23.065,23.23,303400
AGX,19-Nov-2021,42.57,42.76,42.15,42.16,84200
AHH,19-Nov-2021,14.72,15.008,14.56,14.7,165700
AHH-A,19-Nov-2021,26.73,26.9742,26.53,26.685,9500
AHL-C,19-Nov-2021,27.1,27.1,27.0406,27.05,14700
AHL-D,19-Nov-2021,27.17,27.17,27,27.0899,2900
AHL-E,19-Nov-2021,26.25,26.25,26.12,26.14,9000
AHT,19-Nov-2021,12.57,12.68,12.13,12.45,2081000
AHT-D,19-Nov-2021,27.6758,27.6758,27.6758,27.6758,200
AHT-F,19-Nov-2021,26.52,26.67,26.45,26.67,1400
AHT-G,19-Nov-2021,26.17,26.4,26.17,26.38,1000
AHT-H,19-Nov-2021,26.86,26.86,25.7036,26.84,3700
AHT-I,19-Nov-2021,26.83,26.83,26.83,26.83,200
AI,19-Nov-2021,40.9,41.06,39.334,39.91,4670100
AIC,19-Nov-2021,25.41,25.41,25.41,25.41,100
AIF,19-Nov-2021,15.82,15.85,15.68,15.79,49800
AIG,19-Nov-2021,55.2,55.706,54.71,54.95,4864500
AIG-A,19-Nov-2021,27.05,27.14,26.9201,27.13,36500
AIN,19-Nov-2021,86.86,87.54,85.72,86.84,96800
AIO,19-Nov-2021,28.02,28.19,27.91,27.93,43400
AIR,19-Nov-2021,36.25,36.43,35.53,36.36,336700
AIRC,19-Nov-2021,53.45,53.45,51.95,52.34,508900
AIT,19-Nov-2021,105.58,106.69,105.41,106.05,219600
AIV,19-Nov-2021,7.92,7.99,7.755,7.8,1869900
AIZ,19-Nov-2021,159.77,159.88,157.86,159.48,274000
AIZN,19-Nov-2021,26.6,26.6104,26.3614,26.525,10600
AJG,19-Nov-2021,163.44,165.145,162.42,163.41,1227700
AJRD,19-Nov-2021,42.71,43.24,42.37,42.87,732500
AJX,19-Nov-2021,13.48,13.67,13.46,13.55,57100
AJXA,19-Nov-2021,26.16,26.2,26.08,26.18,1100
AKA,19-Nov-2021,14.17,14.295,13.22,13.73,319100
AKO.A,19-Nov-2021,10.6,10.8,10.3301,10.59,2000
AKO.B,19-Nov-2021,11.84,12.18,11.57,12.13,19500
AKR,19-Nov-2021,22.13,22.24,21.96,22.11,281700
AL,19-Nov-2021,44.69,45.02,44.07,44.31,866000
AL-A,19-Nov-2021,26.6,26.68,26.52,26.585,4500
ALB,19-Nov-2021,274.05,282.55,272.88,281.43,1029000
ALC,19-Nov-2021,83.88,84,82.36,82.42,641700
ALCC,19-Nov-2021,9.87,9.94,9.84,9.89,84500
ALE,19-Nov-2021,62.46,62.63,62.17,62.6,234300
ALEX,19-Nov-2021,23.47,23.69,23.32,23.6,256700
ALG,19-Nov-2021,151.09,154.37,151.09,151.89,34600
ALI-A,19-Nov-2021,4.27,4.47,4.1644,4.21,24900
ALI-B,19-Nov-2021,4.355,4.74,4.355,4.4644,1500
ALI-E,19-Nov-2021,4.45,4.5,4.3607,4.45,7800
ALI.W,19-Nov-2021,3.05,3.05,2.8,2.9,111200
ALIT,19-Nov-2021,10.52,10.59,10.42,10.45,1457400
ALK,19-Nov-2021,51.9,52.84,50.98,52.74,3461900
ALL,19-Nov-2021,112.78,113.61,111.86,111.94,2084000
ALL-B,19-Nov-2021,26.44,26.5395,26.44,26.5395,12200
ALL-G,19-Nov-2021,26.62,26.73,26.61,26.7095,15000
ALL-H,19-Nov-2021,26.98,26.98,26.77,26.87,33300
ALL-I,19-Nov-2021,26.65,26.7427,26.62,26.65,10100
ALLE,19-Nov-2021,135.21,136.665,133.74,133.8,466400
ALLY,19-Nov-2021,47.97,48.3,47.17,47.93,3411200
ALP-Q,19-Nov-2021,25.87,25.9159,25.87,25.8703,7000
ALSN,19-Nov-2021,36.06,36.65,35.9,36.2,919800
ALT-A,19-Nov-2021,27.62,27.8,27.62,27.8,1900
ALTG,19-Nov-2021,16.73,16.9931,16.61,16.86,81300
ALV,19-Nov-2021,104.51,105.46,103.3,105.16,1018000
ALX,19-Nov-2021,268.43,270.07,261.185,267.99,18700
AM,19-Nov-2021,10.31,10.32,10.06,10.16,3053400
AMAM,19-Nov-2021,11.72,12.173,11.2513,11.41,6500
AMB.W,19-Nov-2021,2.095,2.095,2.02,2.095,500
AMBC,19-Nov-2021,16.23,16.65,16.08,16.39,1085000
AMBP,19-Nov-2021,9.63,9.66,9.473,9.6,639800
AMC,19-Nov-2021,40.2,41.3799,39.66,40.87,20692300
AMCR,19-Nov-2021,12.04,12.125,11.89,11.9,4468800
AME,19-Nov-2021,141.43,143.155,140.69,142.48,1289200
AMG,19-Nov-2021,174.54,176.14,173.84,174.22,139700
AMH,19-Nov-2021,40.26,40.39,39.74,39.97,1289300
AMH-F,19-Nov-2021,25.51,25.66,25.5,25.56,3000
AMH-G,19-Nov-2021,25.54,25.54,25.51,25.51,200
AMH-H,19-Nov-2021,26.82,26.87,26.72,26.87,1800
AMK,19-Nov-2021,27,27.67,26.79,27.57,123900
AMN,19-Nov-2021,116.75,119.15,114.7,118.59,493100
AMOV,19-Nov-2021,17.4,17.52,17.33,17.33,9400
AMP,19-Nov-2021,300.05,301.93,295.09,299.55,781000
AMP.U,19-Nov-2021,9.85,9.88,9.85,9.87,16000
AMP.W,19-Nov-2021,0.8702,0.9301,0.8702,0.93,23900
AMPI,19-Nov-2021,9.72,9.78,9.72,9.77,33000
AMPY,19-Nov-2021,2.7,2.71,2.6,2.67,777300
AMR,19-Nov-2021,46.24,47.5,44.63,46.14,240500
AMRC,19-Nov-2021,91.33,95.2234,90.24,94.03,238500
AMRX,19-Nov-2021,4.53,4.715,4.53,4.62,745600
AMT,19-Nov-2021,260.9,264.29,259.61,260.98,2036700
AMWL,19-Nov-2021,7.58,7.63,7.3,7.34,1667700
AMX,19-Nov-2021,17.6,17.7,17.435,17.55,1190000
AN,19-Nov-2021,120,120.5692,117.695,117.85,773600
ANA.U,19-Nov-2021,9.9,9.9,9.9,9.9,400
ANA.W,19-Nov-2021,0.8101,0.83,0.8101,0.8201,33300
ANET,19-Nov-2021,129.51,131.3,128.132,128.96,2031300
ANF,19-Nov-2021,47.34,47.58,44.97,45.19,1301200
ANTM,19-Nov-2021,425.47,425.47,414.03,415.21,1064000
ANVS,19-Nov-2021,26.9,27.35,26,27.1,112800
AOD,19-Nov-2021,10.05,10.06,9.96,9.98,212100
AOMR,19-Nov-2021,16.9,17.29,16.76,17.16,171300
AON,19-Nov-2021,294.16,299.83,291.95,296.79,1313100
AOS,19-Nov-2021,82.52,83.04,81.6505,82.46,726600
AP,19-Nov-2021,5.07,5.12,4.91,4.99,56100
APAM,19-Nov-2021,48.89,49.62,48.61,49.07,635100
APD,19-Nov-2021,296.24,299.55,294.48,297.74,1091100
APG,19-Nov-2021,24.27,25.09,24.11,24.89,445500
APG.U,19-Nov-2021,10.015,10.015,10.015,10.015,500
APG.W,19-Nov-2021,1.04,1.04,1.04,1.04,14000
APGB,19-Nov-2021,9.8,9.8,9.8,9.8,100
APH,19-Nov-2021,84.9,85.78,84.55,85.14,1653900
APLE,19-Nov-2021,15.34,15.69,15.15,15.65,2203800
APN.U,19-Nov-2021,10.08,10.1059,10.08,10.09,1400
APO,19-Nov-2021,75.48,75.58,74.1,74.95,1625400
APO-A,19-Nov-2021,25.7,25.8488,25.69,25.7,4700
APO-B,19-Nov-2021,26.8,26.85,26.71,26.8499,11700
APRN,19-Nov-2021,8.12,8.77,8.12,8.46,966800
APS.U,19-Nov-2021,10.11,10.17,10.11,10.12,38500
APS.W,19-Nov-2021,0.99,1.03,0.9713,1,37000
APSG,19-Nov-2021,9.83,9.87,9.83,9.85,220900
APT-A,19-Nov-2021,198.91,198.91,196.82,197.41,35400
APTS,19-Nov-2021,14.19,14.22,13.9401,14.13,339300
APTV,19-Nov-2021,176.67,177.665,175.14,176.06,1153100
AQN,19-Nov-2021,14.15,14.24,14.13,14.2,2269100
AQNA,19-Nov-2021,27.23,27.25,27.15,27.21,12200
AQNB,19-Nov-2021,27.53,27.68,27.53,27.64,19900
AQNU,19-Nov-2021,47.25,47.35,47.1434,47.35,5300
AQUA,19-Nov-2021,48.51,48.97,48.095,48.71,1123700
AR,19-Nov-2021,18.39,18.71,18.0002,18.18,9024500
ARC,19-Nov-2021,2.95,3.0298,2.93,2.99,85500
ARCH,19-Nov-2021,76.88,79,76.2301,77.83,638100
ARCO,19-Nov-2021,5.19,5.29,5.09,5.17,1452600
ARDC,19-Nov-2021,16.1,16.1362,15.75,15.96,121800
ARE,19-Nov-2021,207.01,207.99,204.77,206.6,697000
ARES,19-Nov-2021,88.92,89,87.915,88.3,350200
ARG-A,19-Nov-2021,27.48,27.48,27.27,27.3355,10100
ARGD,19-Nov-2021,25.95,26.04,25.95,25.9695,4600
ARGO,19-Nov-2021,57.54,58.56,57.38,57.77,113100
ARI,19-Nov-2021,14.13,14.3,14.06,14.2,882500
ARIS,19-Nov-2021,14.07,14.33,13.59,13.99,301000
ARL,19-Nov-2021,11.1,11.7668,11.0952,11.34,900
ARLO,19-Nov-2021,7.82,7.92,7.82,7.9,595700
ARMK,19-Nov-2021,36.16,36.62,35.49,36.49,3821900
ARNC,19-Nov-2021,30.92,31.18,29.92,29.98,547200
AROC,19-Nov-2021,7.72,7.75,7.53,7.59,962900
ARR,19-Nov-2021,10.32,10.34,10.25,10.29,1605800
ARR-C,19-Nov-2021,25.68,25.88,25.68,25.84,5900
ARW,19-Nov-2021,126.38,127.44,125.542,126.22,391000
ASA,19-Nov-2021,22.27,22.43,21.94,22.02,44900
ASA.U,19-Nov-2021,10.12,10.12,10.12,10.12,500
ASA.W,19-Nov-2021,0.66,0.7098,0.6412,0.67,40700
ASAI,19-Nov-2021,12.93,13.01,12.53,12.55,112200
ASAN,19-Nov-2021,138.35,142.8,136.05,137.19,1930700
ASAQ,19-Nov-2021,9.8018,9.8018,9.8018,9.8018,600
ASB,19-Nov-2021,22.91,23.3,22.53,23.25,1190100
ASB-E,19-Nov-2021,26.56,26.57,26.53,26.5614,1400
ASB-F,19-Nov-2021,27.2092,27.2092,27,27.02,8200
ASC,19-Nov-2021,3.96,3.98,3.84,3.88,183400
ASG,19-Nov-2021,9.11,9.125,8.92,8.97,244400
ASGI,19-Nov-2021,20.39,20.5018,20.25,20.33,29700
ASGN,19-Nov-2021,125.34,126.305,125.05,125.57,183800
ASH,19-Nov-2021,106.49,109.34,105.935,109.26,652200
ASIX,19-Nov-2021,48.42,48.56,47.275,48.06,244600
ASPN,19-Nov-2021,63,64,61.87,62.17,217700
ASR,19-Nov-2021,195.8,197.25,193.15,197.19,17600
ASX,19-Nov-2021,7.62,7.68,7.6,7.66,2648300
ASZ,19-Nov-2021,9.84,9.84,9.76,9.81,638400
ASZ.W,19-Nov-2021,1.3,1.32,1.28,1.29,8500
ATA,19-Nov-2021,10.09,10.09,10.09,10.09,66000
ATA.D,19-Nov-2021,10.02,10.04,10.02,10.02,8100
ATA.V,19-Nov-2021,1.05,1.1,1.05,1.1,15100
ATA.W,19-Nov-2021,0.71,0.71,0.67,0.71,3200
ATAQ,19-Nov-2021,9.85,9.85,9.81,9.81,1500
ATC,19-Nov-2021,24.94,25.08,24.91,24.96,187000
ATC-D,19-Nov-2021,25.45,25.45,25.325,25.3998,9000
ATC-H,19-Nov-2021,25.322,25.42,25.322,25.415,6800
ATC-I,19-Nov-2021,27.63,27.7,27.41,27.69,10000
ATCO,19-Nov-2021,14,14.19,13.91,14.09,528500
ATEN,19-Nov-2021,16.6,17.445,16.08,16.48,1234900
ATGE,19-Nov-2021,30.01,30.75,30.01,30.61,321600
ATH,19-Nov-2021,85.69,86.36,84.73,85.73,743000
ATH-A,19-Nov-2021,29.21,29.21,28.98,29.11,22100
ATH-B,19-Nov-2021,26.72,26.72,26.65,26.676,24300
ATH-C,19-Nov-2021,28.35,28.42,28,28.1,220700
ATH-D,19-Nov-2021,25.73,25.9599,25.6496,25.66,39500
ATH.W,19-Nov-2021,2.03,2.0876,1.94,2.02,57500
ATHM,19-Nov-2021,33.76,35.78,33.76,35.78,1501900
ATHN,19-Nov-2021,10.05,10.0919,9.97,9.995,579900
ATI,19-Nov-2021,16.07,16.215,15.78,16.03,1650400
ATI.W,19-Nov-2021,0.6198,0.6198,0.561,0.561,4100
ATIP,19-Nov-2021,3.86,3.9,3.69,3.69,986100
ATKR,19-Nov-2021,111.5,115.4499,110.93,111.65,540200
ATM.U,19-Nov-2021,10.29,10.29,10.2211,10.29,800
ATM.W,19-Nov-2021,1.18,1.27,1.18,1.2,38600
ATMR,19-Nov-2021,9.92,9.9599,9.92,9.93,23200
ATO,19-Nov-2021,93,95.39,92.69,94.9,3139700
ATR,19-Nov-2021,129.67,131.52,129.475,130.15,212700
ATTO,19-Nov-2021,25.63,25.9,24.28,25.6,15900
ATUS,19-Nov-2021,17.19,17.275,16.66,16.84,6946900
AU,19-Nov-2021,20.71,20.9,20.63,20.75,2138100
AUD,19-Nov-2021,2.91,3.06,2.86,2.87,868400
AUS,19-Nov-2021,9.86,9.88,9.86,9.88,241300
AUS.U,19-Nov-2021,10.15,10.15,10.15,10.15,300
AUS.W,19-Nov-2021,1.42,1.42,1.1975,1.22,61200
AUY,19-Nov-2021,4.44,4.46,4.3,4.32,12842200
AVA,19-Nov-2021,38.72,39.075,38.54,38.81,392700
AVA.U,19-Nov-2021,10.22,10.22,10.215,10.215,1400
